game_link,game_score,team_1_score,team_2_score,team_1_name,team_2_name,game_id
https://official.nba.com/l2m/L2MReport.html?gameId=0042200405,"Nuggets 94, Heat 89",94,89,Nuggets,Heat,0042200405
https://official.nba.com/l2m/L2MReport.html?gameId=0042200402,"Heat 111, Nuggets 108",111,108,Heat,Nuggets,0042200402
https://official.nba.com/l2m/L2MReport.html?gameId=0042200306,"Celtics 104, Heat 103",104,103,Celtics,Heat,0042200306
https://official.nba.com/l2m/L2MReport.html?gameId=0042200314,"Nuggets 113, Lakers 111",113,111,Nuggets,Lakers,0042200314
https://official.nba.com/l2m/L2MReport.html?gameId=0042200302,"Heat 111, Celtics 105",111,105,Heat,Celtics,0042200302
https://official.nba.com/l2m/L2MReport.html?gameId=0042200312,"Nuggets 108, Lakers 103",108,103,Nuggets,Lakers,0042200312
https://official.nba.com/l2m/L2MReport.html?gameId=0042200311,"Nuggets 132, Lakers 126",132,126,Nuggets,Lakers,0042200311
https://official.nba.com/l2m/L2MReport.html?gameId=0042200206,"Heat 96, Knicks 92",96,92,Heat,Knicks,0042200206
https://official.nba.com/l2m/L2MReport.html?gameId=0042200234,"Lakers 104, Warriors 101",104,101,Lakers,Warriors,0042200234
https://official.nba.com/l2m/L2MReport.html?gameId=0042200214,"76ers 116, Celtics 115 (OT)",116,115,76ers,Celtics,0042200214
https://official.nba.com/l2m/L2MReport.html?gameId=0042200224,"Suns 129, Nuggets 124 ",129,124,Suns,Nuggets,0042200224
https://official.nba.com/l2m/L2MReport.html?gameId=0042200202,"Knicks 111, Heat 105",111,105,Knicks,Heat,0042200202
https://official.nba.com/l2m/L2MReport.html?gameId=0042200231,"Lakers 117, Warriors 112",117,112,Lakers,Warriors,0042200231
https://official.nba.com/l2m/L2MReport.html?gameId=0042200211,"76ers 119, Celtics 115",119,115,76ers,Celtics,0042200211
https://official.nba.com/l2m/L2MReport.html?gameId=0042200105,"Heat 128, Bucks 126",128,126,Heat,Bucks,0042200105
https://official.nba.com/l2m/L2MReport.html?gameId=0042200165,"Warriors 123, Kings 116",123,116,Warriors,Kings,0042200165
https://official.nba.com/l2m/L2MReport.html?gameId=0042200115,"Hawks 119, Celtics 117",119,117,Hawks,Celtics,0042200115
https://official.nba.com/l2m/L2MReport.html?gameId=0042200145,"Nuggets 112, Timberwolves 109",112,109,Nuggets,Timberwolves,0042200145
https://official.nba.com/l2m/L2MReport.html?gameId=0042200175,"Suns 136, Clippers 130 ",136,130,Suns,Clippers,0042200175
https://official.nba.com/l2m/L2MReport.html?gameId=0042200104,"Heat 119, Bucks 114",119,114,Heat,Bucks,0042200104
https://official.nba.com/l2m/L2MReport.html?gameId=0042200154,"Lakers 117, Grizzlies 111 (OT) ",117,111,Lakers,Grizzlies,0042200154
https://official.nba.com/l2m/L2MReport.html?gameId=0042200164,"Warriors 126, Kings 125",126,125,Warriors,Kings,0042200164
https://official.nba.com/l2m/L2MReport.html?gameId=0042200144,"Timberwolves 114, Nuggets 108 (OT)",114,108,Timberwolves,Nuggets,0042200144
