game_link,game_score,team_1_score,team_2_score,team_1_name,team_2_name,game_id
https://official.nba.com/l2m/L2MReport.html?gameId=0022300054,"Nets 115, Raptors 103",115,103,Nets,Raptors,0022300054
https://official.nba.com/l2m/L2MReport.html?gameId=0022300056,"Bucks 131, Heat 124",131,124,Bucks,Heat,0022300056
https://official.nba.com/l2m/L2MReport.html?gameId=0022300058,"Timberwolves 106, Thunder 103",106,103,Timberwolves,Thunder,0022300058
https://official.nba.com/l2m/L2MReport.html?gameId=0022300059,"Mavericks 121, Rockets 115",121,115,Mavericks,Rockets,0022300059
https://official.nba.com/l2m/L2MReport.html?gameId=0022300060,"Kings 124, Warriors 123",124,123,Kings,Warriors,0022300060
https://official.nba.com/l2m/L2MReport.html?gameId=0022300254,"Trailblazers 114, Pacers 110",114,110,Trailblazers,Pacers,0022300254
https://official.nba.com/l2m/L2MReport.html?gameId=0022300256,"Jazz 114, Pelicans 112",114,112,Jazz,Pelicans,0022300256
https://official.nba.com/l2m/L2MReport.html?gameId=0022300257,"Nuggets 113, Clippers 104",113,104,Nuggets,Clippers,0022300257
https://official.nba.com/l2m/L2MReport.html?gameId=0022300245,"Bucks 108, Trailblazers 102",108,102,Bucks,Trailblazers,0022300245
https://official.nba.com/l2m/L2MReport.html?gameId=0022300247,"Suns 116, Knicks 113",116,113,Suns,Knicks,0022300247
https://official.nba.com/l2m/L2MReport.html?gameId=0022300251,"Cavaliers 105, Raptors 102",105,102,Cavaliers,Raptors,0022300251
https://official.nba.com/l2m/L2MReport.html?gameId=0022300239,"76ers 127, Thunder 123",127,123,76ers,Thunder,0022300239
https://official.nba.com/l2m/L2MReport.html?gameId=0022300242,"Lakers 121, Cavaliers 115",121,115,Lakers,Cavaliers,0022300242
https://official.nba.com/l2m/L2MReport.html?gameId=0022300243,"Jazz 105, Pelicans 100",105,100,Jazz,Pelicans,0022300243
https://official.nba.com/l2m/L2MReport.html?gameId=0022300045,"Knicks 100, Heat 98",100,98,Knicks,Heat,0022300045
https://official.nba.com/l2m/L2MReport.html?gameId=0022300049,"Bucks 131, Wizards 128",131,128,Bucks,Wizards,0022300049
https://official.nba.com/l2m/L2MReport.html?gameId=0022300051,"Warriors 118, Spurs 112",118,112,Warriors,Spurs,0022300051
https://official.nba.com/l2m/L2MReport.html?gameId=0022300225,"Hornets 117, Wizards 114",117,114,Hornets,Wizards,0022300225
